APP,url,classification,commit id,LLM,LLM_Deployment Environments,vectordb,VectorDB_Deployment Environments,langchain,language
,,,,instance,online/local,instance,online/local,,
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar,chatbot,ee36a803e220c8a3f021a61922ea81c59e7242ee,OpenAI,online,chroma,online,1,javascript
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT,multifunction,1519df7f0179be0957008e75fd27eafb9d6890f1,OpenAI,Online,chroma,local,1,python
(fork)uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite,multifunction,d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,OpenAI,Online,chroma,local,1,python
(fork)yanll/YP-GPT,https://github.com/yanll/YP-GPT,multifunction,6df9f79f694ba4aaf0dc84867cd44e66c062c99f,OpenAI,Online,chroma,local,1,python
(fork)fangyinc/DB-GPT,https://github.com/fangyinc/DB-GPT,multifunction,f317740d5557b56899d1a3e786ca7cc583fdd700,OpenAI,Online,chroma,local,1,python
X-D-Lab/LangChain-ChatGLM-Webui,https://github.com/X-D-Lab/LangChain-ChatGLM-Webui,context-based QA,ef829a28234228761a97541e4ebae9da4f4e6800,ChatGLM-6B,local,faiss-cpu,local,1,python
langchain-ai/chat-langchain,https://github.com/langchain-ai/chat-langchain,chatbot,a875a649109ad7c3d68d7e9b75508f687e627ca4,OpenAI,Online,WEAVIATE,online,1,python
(fork)hamelsmu/chat-langchain,https://github.com/hamelsmu/chat-langchain,chatbot,8252cc469335da08230afb049cdc7dfb178c328b,OpenAI,Online,faiss-cpu,local,1,python
(fork)joaocarlosleme/chat-langchain,https://github.com/joaocarlosleme/chat-langchain,chatbot,362e71c016d70022a6b1d067e0cddbe1a6ef496e,OpenAI,Online,faiss-cpu,local,1,python
(fork)blu3mo/scrapchat,https://github.com/blu3mo/scrapchat,chatbot,ce78a875399b069d3d5c44c738cb10fb3704c0fd,OpenAI,Online,OpenAI,Online,1,python
yoheinakajima/babyagi,https://github.com/yoheinakajima/babyagi,task management,3532f987744e9254afacc254e3325d1910c0651d,gpt-3.5-turbo,Online,chroma,online,0,python
(fork)dory111111/babyagi-streamlit,https://github.com/dory111111/babyagi-streamlit,task management,088aa7376c39d541543a3518df8bd5db46633f51,OpenAI,Online,faiss-cpu,local,1,python
(fork)kroll-software/babyagi4all,https://github.com/kroll-software/babyagi4all,task management,3dc42659eb5cb51dbea71b565ce09f61a130cc20,llama,local,chroma,local,0,python
(fork)sw5park/LUISE,https://github.com/sw5park/LUISE,task management,e88343c1e2d1c634a33838500e6cc72aa97fdeaa,OpenAI,Online,pinecone,online,0,python
(fork)robiwan303/babyagi,https://github.com/robiwan303/babyagi,task management,9c22f053675710094576bfc4e6527f59a50e6ac2,OpenAI,Online,chroma,online,1,python
(fork)saten-private/BabyCommandAGI,https://github.com/saten-private/BabyCommandAGI,task management,993f7075479d4d89948410bfec0c4c18d4a06b0c,OpenAI,Online,chroma,local,0,python
(fork)ai8hyf/babyagi,https://github.com/ai8hyf/babyagi,task management,6fcd528a92c80846dbb351f2b7babdd50c38709d,llama,local,faiss-cpu,local,1,python
(fork)matigumma/bb.agi,https://github.com/matigumma/bb.agi,task management,9af4396c1c97b0de3fc47ceb35ff8e4489be6254,OpenAI,Online,pinecone,online,1,Jupyter Notebook
(fork)VTSTech/localagi,https://github.com/VTSTech/localagi,task management,85ecc246bd50783e9edaa4227493c0ac127912d8,OpenAI,Online,pinecone,online,0,python
(fork)realminchoi/babyagi-langchain,https://github.com/realminchoi/babyagi-langchain,task management,8173232f8abd09f9b9f8942f0b1cd44327cf66b7,OpenAI,Online,faiss-cpu,local,1,python
miurla/babyagi-ui,https://github.com/miurla/babyagi-ui,task management,3f71b1bd4edea6eb2a063d2ccf540fa309114925,OpenAI,Online,pinecone,online,0,TypeScript
(fork)alexdphan/babyagi-chroma-agent,https://github.com/alexdphan/babyagi-chroma-agent,task management,a5379280e526fd559c49d3b85513a339afc302e5,OpenAI,Online,chroma,local,1,python
(fork)fendouai/babyagi_zh,https://github.com/fendouai/babyagi_zh,task management,bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,OpenAI,Online,pinecone,online,0,python
