APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,RealChar/realtime_ai_character/llm/openai_llm.py,"1.In the RealChar UI, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,lacking restrictions in prompt,case1,"When the user conducts a chat test with a custom character, the character admits to being a language model (GPT-3.5).",IC,"1.realtime_ai_character/llm/__init__.py /#13
2.realtime_ai_character/llm/openai_llm.py","1. Use a custom character with change only being made to character description
2. Ask the character: ""There is no AI, much less computer during your existence.How do you know about it?"""
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,,case2,"During a conversations, it is not possible to switch languages or characters through dialogue.",IC,"Whether you can switch languages during a conversation depends on the chosen LLM. Using GPT allows for language switching, while others seem not to. Switching characters is currently not possible. The feature is not implemented.","1.Select a character to converse with.
2.During the conversation, request to switch the conversation language or switch to another character."
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,,case3,"When conversing with a specific character, such as Steven Jobs, the character admits that he is an AI.",IC,"committed: Fix Journal Mode Action
client/next-web/src/zustand/slices/journalSlice.js","1.Select the character ""Steve Jobs"" and start a conversation.
2.Enter the following prompts:
Ask: ""How about your feeling?""
Then ask: ""Do you want to be my boyfriend?"""
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,insufficient history management,/,lack a chat history feature and characters can summarize previous conversations.,IC,realtime_ai_character/models/interaction.py,"1.In the RealChar UI, select a character to converse with.
2.Ask the character to summarize the conversation, but the character is unable to do so."
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,Missing LLM input format validation,/,Cannot upload markdown files to knowledge bases,IC,This is a bug on the Rebyte platform,"1.Log in to the Rebyte platform
2.Go to ""Knowledge""  section.
3.Create Knowledge
3.Upload File after creating."
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,exceeding  LLM content limit,/,"When users talk to the character, they talk smoothly at the first, but it frequently interrupt half way, and the log is TIMEOUT: interim transcript: xxxx","ST,IC","committed changes:
1.client/next-web/src/app/conversation/_components/ActionChatPanel.js
2.client/next-web/src/app/conversation/_components/ClickToTalk.js
3.client/next-web/src/app/conversation/_components/InputField.js
4.client/next-web/src/app/conversation/_components/JournalMode.js
5.client/next-web/src/app/conversation/page.js","1.Select a character to converse with.
2.Engage in multiple rounds of conversation and observe that the character's responses are increasingly interrupted as the conversation progresses."
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,low-frequency interactivity,/,If you do not interact with RealChar frequently enough you will get an API error when you resume.,"IC,UI",realtime_ai_character/audio/speech_to_text/whisperX.py,"1.Configure and launch RealChar according to the instructions on the website
2.In manual mode, do not interact with RealChar for ""a long time"" (3 hours for example).
3.Try to interact with RealChar again and observe if you encounter any API errors or connection timeouts."
Shaunwei/RealChar,https://github.com/Shaunwei/RealChar/tree/ee36a803e220c8a3f021a61922ea81c59e7242ee,Out-of-sync LLM downstream tasks,/,"When conversing in a non-English language, the speech is very slow and not streamed; it only starts playing the audio after receiving all the text information.",SL,realtime_ai_character/audio/text_to_speech,"1.Select a character to converse with.
2.When conversing in a language other than English, there is an issue with delayed speech."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,Unclear context in prompt,case1,"When using ""Chat Knowledge"", answers may include information not present in the knowledge documents, often resulting in fabricated or nonsensical responses.",IC,"dbgpt/app/scene/chat_knowledge/chat.py, prompt.py","1.Enter the ""Chat Knowledge"" scene
2.Upload knowledge documents in md format
3.Start the conversation"
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case2,The response generated by the LLM does not reference the knowledge base.,IC,"dbgpt/app/scene/chat_knowledge/chat.py, prompt.py","1.Enter the Chat Knowledge scenario.
2.Upload a .txt knowledge file to the knowledge base.
3.Ask a question about the file. In the background, it can be observed that the content from the .txt file has been converted into a prompt and sent to the LLM, but the LLM's response does not reference the knowledge file.

llm: chatglm-6b."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,lacking restrictions in prompt,/,Application error: a client-side exception has occurred,"IC,SL",dbgpt/core/interface/output_parser.py,"1.Enter the ""Chat Data"" scenario and ask a question that cannot generate an SQL query.
2.The bot responds, ""The provided table structure information is insufficient to generate an SQL query."" Meanwhile, the frontend displays: ""Application error: a client-side exception has occurred (see the browser console for more information),"" affecting users's seamless experience."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,insufficient history management,case1,Cannot view previous chat records.,IC,dbgpt/app/scene/chat_dashboard,"1.Enter the ""Dashboard"" scene.
2.Attempt to view previous chats, but their chat reports cannot be viewed."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case2,"The ""Reporter"" lacks historical messages, Missing Context Information in Interactions with Large Language Model",IC,dbgpt/agent/agents/expand/dashboard_assistant_agent.py,"1.Write a data analysis assistant application through Multi-Agents. (follow:https://www.yuque.com/eosphoros/dbgpt-docs/owcrh9423f9rqkg2#LYjPt)
2.Input : ""Generate three sales reports, analyze user orders, and conduct analysis from at least three dimensions."""
